Ubicazione;Data_avvio_primo_Proc;TipoVia;DescrizioneVia;Civico;Bar;CodiceVia;ZD;durata_attivita_tipo;insegna;numero_addetti;posto_speciale_cf;attivita_prevalente;settore_merceologico;settore_storico_n;settore_storico_preval;settore_storico_s;superficie_vendita
CSO EUROPA N. 12 (z.d. 1);07/09/2011;CSO ;EUROPA;12;;300;1;Permanente;;;;FARMACIA, COSMESI E PROFUMERIA, ALIMENTI PER L'INFANZIA ED INTEGRATORI ALIMENTARI;Alimentare,Tabella speciale Farmacie;"alimenti per l'infanzia ed integratori alimentari. 
,cosmesi e profumeria 
,tabella speciale farmacia 
";farmacia (articoli sussidiari);settore alimentare,settore non alimentare,speciale farmacia;396
VIA LOPEZ SABATINO N. 9 (z.d. 8);08/03/2012;VIA ;LOPEZ SABATINO;9;;7369;8;;;;;VENDITA ALIMENTARI;Alimentare,Non Alimentare;;;;372
VIA LEONCAVALLO RUGGERO num.015/17, ();04/08/2011;VIA;LEONCAVALLO RUGGERO;15;17;2389;2;Permanente;;;;SUPERMERCATO;non alimentare,alimentare;"supermercato 
";;settore alimentare/non aliment;830
PZA DUCA D'AOSTA interno stazione centrale;16/03/2012;PZA ;DUCA D'AOSTA;;;1200;2;;;;;;Non Alimentare;;;;2470
CSO BUENOS AIRES N. 8 (z.d. 3);19/03/2012;CSO ;BUENOS AIRES;8;;2129;3;Permanente;;;;;Non Alimentare;;;;1277
PZA DUCA D'AOSTA Int. stazione interno stazione centrale;29/03/2012;PZA ;DUCA D'AOSTA;;;1200;2;Permanente;;;;;Non Alimentare;;;;620
VIA ASTESANI ALESSANDRO N. 39 (z.d. 9);24/04/2012;VIA ;ASTESANI ALESSANDRO;39;;1558;9;;;;;;Non Alimentare;;;;1150
VIA FOPPA VINCENZO N. 49 (z.d. 6);27/10/2011;VIA ;FOPPA VINCENZO;49;;6109;6;;;;;;Alimentare,Non Alimentare;;;;596
VIA BECCARIA CESARE N. 5 (z.d. 1);21/07/2011;VIA ;BECCARIA CESARE;5;;307;1;Permanente;;;;;Alimentare,Non Alimentare;;;;828
VIA ADRIANO PUBLIO ELIO angolo via brambilla;18/01/2011;VIA;ADRIANO PUBLIO ELIO;;;2410;2;Permanente;;;;;Alimentare,Non Alimentare;;;;1458
CSO VITTORIO EMANUELE II N. 37B (z.d. 1);31/05/2012;CSO ;VITTORIO EMANUELE II;37;B;214;1;;;;;ABBIGLIAMENTO E ACCESSORI UOMO E DONNA;Non Alimentare;;;;382
VIA TORINO N. 44 (z.d. 1);27/01/2012;VIA ;TORINO;44;;543;1;Permanente;;;;;Non Alimentare;;;;277
VIA DAIMLER GOTTLIEB WILHELM area cascina merlata num.000, ();12/07/2011;VIA ;DAIMLER GOTTLIEB WILHELM;;;7587;8;;;;;;alimentare,non alimentare;"ipermercato organizzato in: - 1 grande struttura di vendita - 11 medie strutture di vendita - 82 esercizi di vicinato 
";;settore alimentare/non aliment;33000
VIA D'ADDA CARLO N. 29 (z.d. 6);04/08/2011;VIA ;D'ADDA CARLO;29;;5272;6;Permanente;lucky music strumenti m.;;;;Non Alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";strumenti musicali;settore non alimentare;835
CSO BUENOS AIRES N. 23 (z.d. 3);12/01/2011;CSO ;BUENOS AIRES;23;;2129;3;Permanente;;;;VENDITA ABBIGLIAMENTO E ACCESSORI;Non Alimentare;;;;381
VIA DEGLI OMENONI N. 2 (z.d. 1);21/02/2011;VIA ;DEGLI OMENONI;2;;233;1;Permanente;;;;SETTORE NON ALIMENTARE;Non Alimentare;;;;595
VIA MURATORI LODOVICO N. 27 (z.d. 4);02/12/2011;VIA ;MURATORI LODOVICO;27;;4076;4;;;;;ABBIGLIAMENTO E ACCESSORI;Non Alimentare;;;;630
VIA MANZONI ALESSANDRO N. 38 (z.d. 1);18/01/2012;VIA ;MANZONI ALESSANDRO;38;;230;1;Permanente;;;;;Non Alimentare;;;;314
VIA GRASSI GIOVANNI BATTISTA N. 15 (z.d. 8);05/12/2011;VIA ;GRASSI GIOVANNI BATTISTA;15;;7465;8;Permanente;;;;;Non Alimentare;;;;1490
VIA RISMONDO FRANCESCO N. 4 (z.d. 7);25/07/2011;VIA ;RISMONDO FRANCESCO;4;;6756;7;Permanente;;;;;Non Alimentare;;;;1458
VIA MONTE NAPOLEONE N. 12 (z.d. 1);22/12/2011;VIA ;MONTE NAPOLEONE;12;;219;1;Permanente;;;;ABBIGLIAMENTO E ACCESSORI;Non Alimentare;;;;1179
VIA DELLA PECETTA n. 31/33;17/01/2011;VIA ;DELLA PECETTA;31;33;7251;8;Permanente;;;;;Alimentare,Non Alimentare;;;;477
VIA DELLA PECETTA n. 31/33;17/01/2011;VIA ;DELLA PECETTA;31;33;7251;8;Permanente;;;;;Alimentare,Non Alimentare;;;;1300
CSO VITTORIO EMANUELE II N. 30 (z.d. 1);22/12/2011;CSO ;VITTORIO EMANUELE II;30;;214;1;Permanente;;;;;Alimentare,Non Alimentare;;;;295
VIA BOSCOVICH RUGGERO N. 58 (z.d. 3);01/06/2011;VIA ;BOSCOVICH RUGGERO;58;;2131;3;Permanente;;;;;Non Alimentare;;;;439
VIA MONTE NAPOLEONE N. 12 (z.d. 1);30/07/2012;VIA ;MONTE NAPOLEONE;12;;219;1;Permanente;;;;;Non Alimentare;;;;452
VIA CIRCO N. 1 (z.d. 1);24/07/2012;VIA ;CIRCO;1;;557;1;Permanente;;;;SUPERMERCATO;Alimentare,Non Alimentare;;;;364
CSO MATTEOTTI GIACOMO N. 10 (z.d. 1);16/08/2012;CSO ;MATTEOTTI GIACOMO;10;;218;1;Permanente;;;;;Non Alimentare;;;;598
VLE MONZA N. 162 (z.d. 2);23/10/2012;VLE ;MONZA;162;;2274;2;Permanente;;;;;Non Alimentare;;;;700
CSO MATTEOTTI GIACOMO N. 18 (z.d. 1);25/10/2012;CSO ;MATTEOTTI GIACOMO;18;;218;1;Permanente;;;;;Non Alimentare;;;;451
VIA SAN RAFAEL DELLE ANDE n. 6/1 con ingresso da via de marchi emilio n. 10 (z.d. 2);09/11/2012;VIA ;SAN RAFAEL DELLE ANDE;6;1;1457;2;Permanente;;;;;Non Alimentare;;;;1219
VIA BAGUTTA N. 2 (z.d. 1);13/02/2013;VIA ;BAGUTTA;2;;221;1;Permanente;;;;ABBIGLIAMENTO E ACCESSORI;Non Alimentare;;;;414
"p.i.i. garibaldi repubblica 
edificio podio
u.i. u1";21/02/2013;;;;;;;Permanente;;;;;Alimentare,Non Alimentare;;;;2300
VIA BAGAROTTI MAFFEO N. 5 (z.d. 7);19/03/2013;VIA ;BAGAROTTI MAFFEO;5;;6585;7;Permanente;;;;;Alimentare,Non Alimentare;;;;753
VIA MONTE NAPOLEONE N. 6A (z.d. 1);10/04/2013;VIA ;MONTE NAPOLEONE;6;A;219;1;Permanente;;;;;Non Alimentare;;;;1290
VIA ROSSI PELLEGRINO snc;10/04/2013;VIA;ROSSI PELLEGRINO;;;1510;9;Permanente;;;;;Alimentare,Non Alimentare;;;;2500
VIA MAFFUCCI ANGIOLO N. 18 (z.d. 9);26/04/2013;VIA ;MAFFUCCI ANGIOLO;18;;1276;9;Permanente;;;;;Non Alimentare,Alimentare;;;;1070
